timestamp,open,high,low,close,volume
2019-07-24,7.3500,7.6500,7.3400,7.4600,403764
2019-07-23,7.4600,7.6100,7.3400,7.4200,332562
2019-07-22,7.6500,7.8100,7.4600,7.5600,326423
2019-07-19,7.2900,7.6300,7.2300,7.5900,415897
2019-07-18,7.2000,7.3400,7.0950,7.2900,454052
2019-07-17,7.7400,7.8100,7.2700,7.2700,599887
2019-07-16,7.8600,7.9700,7.6900,7.7200,478124
2019-07-15,8.1200,8.1600,7.7700,7.8900,468875
2019-07-12,7.9400,8.1000,7.9000,8.0300,285680
2019-07-11,8.3100,8.4200,7.9400,8.0000,384479
2019-07-10,8.3100,8.5500,8.1300,8.2900,405793
2019-07-09,8.1000,8.1650,7.9000,8.1500,363532
2019-07-08,8.4000,8.5300,8.0600,8.1300,410962
2019-07-05,8.3400,8.7100,8.3000,8.5400,397284
2019-07-03,8.4400,8.5300,8.2700,8.4000,220519
2019-07-02,9.1200,9.2000,8.2900,8.3500,861169
2019-07-01,9.1700,9.5700,9.0000,9.1900,682710
2019-06-28,8.9900,9.1800,8.8900,8.8900,723357
2019-06-27,9.2400,9.2700,8.8200,8.9300,400295
2019-06-26,9.0400,9.2400,8.9200,9.0500,594032
2019-06-25,8.7700,9.0650,8.6400,8.8300,646677
2019-06-24,9.1500,9.3700,8.8300,8.8500,448686
2019-06-21,9.0100,9.2300,8.8600,9.1200,1685770
2019-06-20,8.7000,9.1200,8.7000,8.9900,474036
2019-06-19,8.5600,8.7050,8.3500,8.4300,264278
2019-06-18,8.3600,8.8900,8.3600,8.6000,359678
2019-06-17,8.2300,8.4700,8.0900,8.3000,354450
2019-06-14,8.2500,8.4550,8.1600,8.2800,474629
2019-06-13,7.9700,8.3300,7.8400,8.2500,495601
2019-06-12,8.0700,8.0800,7.6800,7.7100,350103
2019-06-11,8.5500,8.6000,8.1800,8.2300,389030
2019-06-10,8.4300,8.7000,8.3900,8.4200,284314
2019-06-07,8.4000,8.4800,8.1500,8.4200,308643
2019-06-06,8.3300,8.5150,8.2500,8.4100,377155
2019-06-05,9.0000,9.0650,8.2900,8.3200,349994
2019-06-04,9.1200,9.1700,8.8000,9.0400,745634
2019-06-03,9.7200,9.7900,8.8900,8.9500,661785
2019-05-31,9.1800,9.7100,9.1100,9.6200,649799
2019-05-30,9.6900,9.9000,9.4400,9.5000,218779
2019-05-29,9.3900,9.7300,9.2750,9.7000,351830
2019-05-28,10.0500,10.0500,9.6000,9.6200,404322
2019-05-24,10.4000,10.4050,10.0200,10.0400,297710
2019-05-23,10.4200,10.5100,10.0400,10.2200,430933
2019-05-22,11.2300,11.2650,10.8400,10.8400,507019
2019-05-21,11.2000,11.4900,11.1600,11.4100,143967
2019-05-20,11.1300,11.2700,11.0200,11.1100,346277
2019-05-17,11.6300,11.7200,11.1300,11.1800,415296
2019-05-16,11.8700,12.1100,11.7500,11.8100,185659
2019-05-15,11.3700,11.8500,11.2000,11.7700,274336
2019-05-14,11.1900,11.7200,11.1400,11.5800,228054
2019-05-13,11.5400,11.6000,11.0100,11.0600,336300
2019-05-10,11.6800,11.6900,11.3550,11.6900,338298
2019-05-09,11.7900,11.8800,11.4600,11.7800,299789
2019-05-08,11.7600,12.3100,11.6900,11.9700,554850
2019-05-07,11.9800,12.1300,11.5200,11.7600,439934
2019-05-06,11.9500,12.5000,11.9499,12.2900,446296
2019-05-03,12.2600,12.5800,12.2000,12.3200,306999
2019-05-02,12.6000,13.2000,11.9200,12.0900,669769
2019-05-01,13.6100,13.7800,13.1800,13.2500,661491
2019-04-30,14.1000,14.1200,13.2000,13.5600,461490
2019-04-29,14.0200,14.0500,13.8400,13.9200,245900
2019-04-26,14.2800,14.3800,13.8200,14.0200,220278
2019-04-25,14.9700,15.0600,14.4200,14.4900,277804
2019-04-24,15.6600,15.7100,14.9500,14.9900,200159
2019-04-23,15.7600,15.9500,15.5100,15.6100,229326
2019-04-22,15.5100,15.9600,15.3900,15.7700,273176
2019-04-18,16.0800,16.2500,15.2400,15.2800,365671
2019-04-17,15.6700,16.1000,15.6500,16.0300,408289
2019-04-16,15.3900,15.5100,15.0800,15.5000,234552
2019-04-15,15.3900,15.4700,15.0600,15.2400,270152
2019-04-12,14.9800,15.5200,14.7800,15.4500,497456
2019-04-11,14.8900,15.1100,14.4000,14.5200,283246
2019-04-10,14.8900,15.2500,14.8100,14.9100,283144
2019-04-09,15.4600,15.4600,14.7600,14.7900,302549
2019-04-08,15.3800,15.7900,15.3715,15.6600,207329
2019-04-05,14.1700,15.3200,14.1700,15.2800,640179
2019-04-04,14.0700,14.1600,13.6800,14.1000,306877
2019-04-03,14.6900,14.7800,13.9400,13.9800,345335
2019-04-02,14.8500,14.9100,14.4100,14.5300,310770
2019-04-01,14.3800,14.9100,14.3500,14.8600,364904
2019-03-29,14.8000,14.8600,14.1200,14.2400,388313
2019-03-28,14.3700,14.5900,14.1700,14.5300,227708
2019-03-27,14.8600,15.0100,14.4950,14.5100,314478
2019-03-26,14.9100,15.3500,14.8100,14.9300,231747
2019-03-25,14.5700,14.8700,14.1800,14.6100,210158
2019-03-22,15.5500,15.6278,14.6500,14.6900,351416
2019-03-21,15.7100,16.0300,15.5200,15.8400,351169
2019-03-20,14.4900,15.8300,14.3806,15.5500,522075
2019-03-19,15.1300,15.2800,14.4000,14.5000,280655
2019-03-18,14.4500,15.0200,14.4500,15.0000,277483
2019-03-15,14.7400,14.9300,14.3850,14.4900,579864
2019-03-14,15.1600,15.3800,14.8200,14.8400,158203
2019-03-13,15.0800,15.4400,14.9600,15.1500,169227
2019-03-12,14.5600,15.0000,14.5600,14.8800,188894
2019-03-11,14.2500,14.6600,14.1600,14.4600,294627
2019-03-08,14.0600,14.3200,13.7400,13.9900,243316
2019-03-07,15.1400,15.1400,14.3150,14.4500,329975
2019-03-06,15.5300,15.5900,14.9800,15.0600,407924
2019-03-05,15.7800,15.8900,15.4400,15.6700,169428
2019-03-04,16.0300,16.2100,15.4700,15.7500,283302
